Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
AUXILIAR LOGISTICO - CAMPINAS,GRUPO SRM,"4,0",884 avaliações,Campinas - SP,Presencial,"R$ 100,00 a R$ 180,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-campinas-em-sao-paulo__9323994.aspx
Auxiliar De Vendas - SEM EXPERIENCIA (AD),GARCIA EMPREENDIMENTOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-vendas-experiencia-ad-em-sao-paulo__9325177.aspx
Ajudante De Expedição (PCD) - Sorocaba,BIMBO BRASIL LTDA,"4,4",4.131 avaliações,Sorocaba - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-ajudante-expedicao-pcd-sorocaba-em-sao-paulo__9326510.aspx
Supervisora Comercial - Estética & Beleza,"São Paulo - SP, a 12,2 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
"Auxiliar De Cozinha - Montagem E Condimentação Dos Pratos,Bem Organização.",O Burguês Burger - São José do Rio Preto/SP,Sem nota,Sem avaliações,São José do Rio Preto - SP,Presencial,Salário a combinar,"https://www.infojobs.com.br/vaga-de-auxiliar-cozinha-montagem-condimentacao-pratos,bem-organizacao-em-sao-paulo__9326295.aspx"
ELETROMECANICO DE REFRIGERAÇÃO,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Ibiúna - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-eletromecanico-refrigeracao-em-sao-paulo__9324411.aspx
Farmacêutico,GARUTTI ADMINISTRACAO,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.500,00 a R$ 3.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-farmaceutico-em-sao-paulo__9147386.aspx
AUXILIAR LOGÍSTICO - CAJAMAR,Blitz Recursos Humanos,"3,7",535 avaliações,São Paulo - SP,Presencial,"R$ 1.000,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-cajamar-em-sao-paulo__9028314.aspx
Auxiliar De Almoxarifado,Nome da empresa não encontrado,Sem nota,Sem avaliações,Mogi das Cruzes - SP,Presencial,"R$ 2.040,00 a R$ 2.050,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-almoxarifado-em-sao-paulo__9325886.aspx
ANALISTA DE PROJETOS SÊNIOR,GRUPO AVENIDA,"4,5",1.516 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-analista-projetos-senior-em-sao-paulo__9326174.aspx
ESTAGIARIO - CAIXA,SUPERMERCADO BARBOSA,"4,1",2.951 avaliações,Tatuí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-estagiario-caixa-em-sao-paulo__9324437.aspx
Assistente De Departamento Pessoal III,Konecta Brasil,"3,9",15.114 avaliações,São Paulo - SP,Presencial,"R$ 2.166,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-departamento-pessoal-iii-em-sao-paulo__9325392.aspx
